the_geom,OBJECTID,Segment_ID,StreetName,CENSUS_ID,DEPOT_NUMB,DEPOT_NAME,MOCO_MAINT,Shape_Leng,FromStreet,ToStreet,Length_1,Width,SurfaceTyp,PCI
"MULTILINESTRING ((-76.9901970553104 38.993956778429805, -76.99023838057721 38.99407441798385, -76.99026124088871 38.994145808151686, -76.99028366098872 38.994217198277425, -76.99030696121832 38.99428858847075, -76.99032806192696 38.99435997847652, -76.9903434457777 38.99443136834183, -76.99035355172016 38.994502757432755, -76.99035881956713 38.994574146123114, -76.99035880990571 38.99464553437736, -76.99035352272003 38.994716922195444, -76.99034295756344 38.99478830957664, -76.99032535552898 38.994859696374114, -76.99030335515017 38.99493108280333, -76.99028135472727 38.99500246922738, -76.99025847502749 38.99507385557301, -76.9902391135089 38.99514524220674, -76.99022239094754 38.99521662905676, -76.99021182558543 38.995288016418705, -76.99021225561017 38.99535940469914, -76.99022148188483 38.995430793714085, -76.99023906460143 38.99550218342481, -76.99026456395018 38.99557357412709, -76.99029973929623 38.99564496528932, -76.9903467898474 38.99571635742043, -76.99039999819962 38.99578775003703, -76.99045188671782 38.995859142520644, -76.99050421517707 38.99593053501587, -76.99055654417201 38.99600192748668, -76.99064361453019 38.99610215259306))",11120,2312,11TH AVE,2312,13,Colesville,YES,820.905985167,NAVAHOE DR,OSAGE ST,820.9,24,AC,62.7642
"MULTILINESTRING ((-76.99196607151133 38.996760790296925, -76.99175012381906 38.99672199209682, -76.99148183427259 38.996708930848, -76.99129798578376 38.99673508741828, -76.99107982874122 38.99678080411995, -76.99056917386373 38.99694413322808, -76.99045173691137 38.99697681481241))",10790,2313,11TH AVE,2313,13,Colesville,YES,448.971614554,CARROLL AVE,RUATAN ST,449,34,AC,31.5621
"MULTILINESTRING ((-76.99045173691137 38.99697681481241, -76.99033473970668 38.997009410255636, -76.99002772413473 38.99714409555265, -76.98988521081928 38.99721547153431, -76.98976688785653 38.99728684945985, -76.9896661576308 38.997358228820005, -76.98957818231608 38.99742960922937, -76.98950428106023 38.99750099083507, -76.98943917616978 38.99757237318746, -76.98938110828055 38.99764375614152, -76.9893265590597 38.99771513938678, -76.98927552851787 38.99778652292819, -76.98922625683883 38.997857906608274, -76.98917742491044 38.99792929064339, -76.9891299124338 38.99800067444351, -76.98908371984363 38.99807205834643, -76.98903796615004 38.99814344227123, -76.98899001397044 38.99821482597016, -76.98893942215419 38.998286209398835, -76.98888575170292 38.99835759251214, -76.98882284467228 38.99842897471767, -76.98866932076196 38.99857173634355))",10665,2314,11TH AVE,2314,13,Colesville,YES,792.064884988,RUATAN ST,QUEBEC ST,792.1,34,AC,29.6681
"MULTILINESTRING ((-76.98866932076196 38.99857173634355, -76.98847928970777 38.99871397949946, -76.98837019936519 38.998785356899184, -76.98824351541731 38.99885698993495, -76.98808164489263 38.998923642606215, -76.98795056365829 38.998987123447215, -76.9878115677271 38.99903335683492, -76.9877411899946 38.999055143321605, -76.9876708130656 38.99907452750186, -76.98760043653145 38.999091423316415, -76.98753006014897 38.99910480107939, -76.98745968451826 38.999116205487745, -76.98738930904727 38.99912658016793, -76.98731893315558 38.999136783023324, -76.98724855764378 38.9991471576188, -76.98717818218869 38.99915710322023, -76.98710780639192 38.99916644770899, -76.98703743099178 38.99917587855088, -76.98696705514226 38.99918530901421, -76.98689623986344 38.99919465366286, -76.98682586443925 38.999203912258885, -76.98675548858184 38.99921308542557, -76.98668511302488 38.99922285894786, -76.98661473738413 38.99923297565639, -76.98654436130876 38.99924300659941, -76.9864739856281 38.99925312322322, -76.98640360994382 38.99926315408157, -76.98633323379246 38.99927327062062, -76.9862628575224 38.99928613294605, -76.98619248042864 38.999303113635946, -76.98612210200129 38.99932455591881, -76.98605172300465 38.99935088941872, -76.98598134292601 38.99938245635558, -76.98591096120015 38.999419858135624, -76.98586081341341 38.99945254317938))",10572,2315,11TH AVE,2315,13,Colesville,YES,879.409745137,QUEBEC ST,Dead End,879.4,24,AC,58.592
"MULTILINESTRING ((-77.02963666007511 38.98692417176399, -77.02955753190902 38.98699317755111, -77.02951313076757 38.98702965513028, -77.02946125364576 38.98706493344042, -77.02940541676527 38.98709618002862, -77.02932539452675 38.98713095033789, -77.02926559465995 38.9871504426632, -77.02918996276696 38.987168308822014, -77.02907914837198 38.987182408159576, -77.02774098663895 38.987273169941915))",11852,2716,13TH ST,2716,15,Silver Spring,YES,571.767112701,EASTERN AVE,KENNETT ST,571.8,44,AC,69.84
"MULTILINESTRING ((-77.02774098663895 38.987273169941915, -77.02714600355552 38.98731569619116, -77.02665787347108 38.98733502863439))",11892,2717,13TH ST,2717,15,Silver Spring,YES,308.754521013,KENNETT ST,BURLINGTON AVE,308.8,44,AC,63.05
"MULTILINESTRING ((-77.09154061430137 38.98153925826403, -77.09165691254512 38.98170236549176, -77.09208210261824 38.98236168862393, -77.09216131910058 38.98241139222232))",12344,7342,47TH ST,7342,14,Bethesda,YES,365.707944891,WILLOW LA,ELM ST,365.7,22,AC,72.8985
"MULTILINESTRING ((-77.11932793196014 38.940595801756054, -77.12046640380622 38.94021194743421))",13489,8273,61ST ST,8273,14,Bethesda,YES,352.705763407,BROAD ST,RIDGE DR,352.7,24,AC,69.3155
"MULTILINESTRING ((-77.11971896216942 38.941319503658754, -77.12107885705736 38.94088667939069))",13486,8335,62ND ST,8335,14,Bethesda,YES,417.680815524,BROAD ST,RIDGE DR,417.7,24,AC,65.9852
"MULTILINESTRING ((-77.12010120835367 38.94204209776382, -77.12145933403971 38.94159597127374))",13482,8387,63RD ST,8387,14,Bethesda,YES,419.065758613,BROAD ST,RIDGE DR,419.1,24,AC,57.9045
